Finished,ResponseId,Consent,US,Why,Continue,Reverse,Interest,Politics,Sex,Vegan
1,R_33r9b0kKoq10t9w,1,1,,,meat is gross,4,4,1,2
1,R_2S6uEwpi5jC0wMO,1,1,meat is gross,,,4,4,1,2
1,R_3kHrnf7W7fJ46Ts,1,1,,sfdgxzg,,4,3,1,2
1,R_1qfgkLKpENF64J5,1,1,,bc,,4,2,2,2
1,R_3oEDs4sHFPFspXq,1,1,,Because of new technology that is saying meat is bad for you,,1,6,2,2
1,R_3FWYhhCPfi42WVY,1,1,Enough people either don't care or don't see meat as an issue.,,,1,4,1,2
1,R_25NPjzgMumia756,1,1,,,"Vegetarian and vegans are only a fraction of the population, as more and more people are born and get older, the amount of people who are meat eaters will more vastly outnumber those who are vegans/vegetarians ",4,2,1,2
1,R_3hDRztvrKP21EEi,1,1,,"Because the research presented shows that it might continue in the future, although my opinion I think it would be the opposite.",,2,5,2,2
1,R_zcbMX0PPZh4DceB,1,1,,,I think this trend is expected to slow because this is just a “fad diet” of sorts and it’s the cool and hip thing to be vegan or vegetarian. ,4,4,2,2
1,R_2DV4DQTpE1qsgsz,1,1,,I think this trend could continue because it is a fad and there are positives in consuming lesser amounts of meat. ,,1,5,2,2
1,R_2cbza0aORI6YzCq,1,1,,,I'm not sure,2,6,2,2
1,R_2X1KEEImyCmIW92,1,1,,,I honestly have no idea. ,4,4,1,2
1,R_smSqX68qBZkpFYt,1,1,I think people limit their meat consumption for a variety of  reasons. Some do it for health reasons others probably do it to save money. ,,,3,4,2,2
1,R_r6dvuGQAEy58jCh,1,1,"I think the majority of people in the United States are not conscientious of their diets, which includes meat consumption. However, people how are conscientious about their diet are also willing to limit meat consumption.  ",,,1,3,2,1
1,R_1k1VKGx2vZUqhXv,1,1,,"I think this trend may continue in the future because a lot of people think that not eating meat is a ""trendy"" thing to do. It seems sometimes that people do not eat meat because it is the cool thing to do, and are not aware of the lack of nutrients it is giving them. ",,1,7,2,2
1,R_qWJnFPQc7XvnNFn,1,1,Because we’re uneducated about a healthy diet ,,,5,5,2,2
1,R_23dhXM7FzuTsJ8j,1,1,"Because, following this logic, 7 out of 10 Americans would not limit their meat consumption.",,,2,5,2,2
1,R_3hDCHxCG6YzZ8pE,1,1,,I think this trend will continue because many people are actively trying to eat more healthy due to disease risks such as diabetes and heart health. ,,5,6,2,2
1,R_d0BODZpY3wawYgN,1,1,,,Because we are becoming more & more aware of the effect it has on our bodies. ,5,6,2,2
1,R_1ojtjVNb7mT0RyG,1,1,,I think people are trying to eat healthier.,,3,7,2,2
1,R_3eq3TrPlBgM5Zyw,1,1,There are a lot of reasons. Some are health because some believe that certain meats are unhealthy. Additionally there are some individuals who do not believe in eating animal products. The cost of meats are higher than other foods which may limit the purchase of meats.,,,2,5,2,2
1,R_3MyWgLzE0nPCjLP,1,1,,,Because with less meat consumption there will probably be new advertising that comes out to inform people on the benefits of eating meat or that the process for making meat has been improved.,7,6,2,2
1,R_r85Len3tkm4yIw1,1,1,,I think this trend will continue because of the popularity of vegetarian style diets,,1,6,1,2
1,R_p58zF2zPs6dL6hj,1,1,More people are learning the consequences of eating too much animal products,,,4,6,2,2
1,R_2YP6sv3wkksI9RL,1,1,,Because people are more knowledgeable about obesity and dietary concerns and it will continue to affect the younger generations,,7,7,2,2
1,R_poZvDjey1VuUhbP,1,1,Diet reasons. ,,,1,5,2,2
1,R_27CryTUQAlZZId4,1,1,Vegetarians and vegan I is a growing lifestyle ,,,1,6,1,2
1,R_1LiEwlrLJBLWU6z,1,1,,"It might continue. If I agreed, I would attribute it to the steady increase shown from 2010 to 2015.",,1,6,1,2
1,R_2WD8Zo5jNoucwQc,1,1,,,Because they are not getting the protein that they need from their meatless diets.,2,6,1,2
1,R_2bVF3NtOadRKmFs,1,1,,,Decrease in price of meat and new diet fads that say meat is good for you.,4,5,2,2
1,R_00uQa3LFfUlizQZ,1,1,"I think it’s 30% because eating meat (or eating in general for that matter) is popular, people like it and consume it despite the health issues it can cause. So it makes sense that those who limit their meat intake would be in the minority.",,,5,4,2,2
1,R_81U8JYy925V8w4V,1,1,,Because of a push to eat healthier,,4,4,1,2
1,R_2Ua9XdKHgM5sBQe,1,1,Most people realize too much meat consumption can cause great problems but it is difficult to limit that in our society,,,4,5,1,2
1,R_2ts26SfnVyg2oO5,1,1,,,A Vegetarian or vegan diet is hard to keep up with. The in C 89 says that we are supposed to eat meat sparingly. As the church grows I think that will change.,1,5,2,2
1,R_2aVaD2b9yQeDnps,1,1,,,"A lot of people go about doing it the wrong way So, instead of seeing long-term positive benefits, they may end up seeing some negative side-effects and assume that cutting out meat was the problem, when in fact it was the way they went about doing it. Most people don’t do the research to figure out how to properly replace the protein nutrient they are cutting out.",3,4,2,2
1,R_0HZnJQjBv5mnEit,1,1,People are too preoccupied these days with all these different diets. People think meat is bad for your body. My 17 year old daughter is being told at school every day that she needs to stop eating meat because its not right to eat animals. People aren't looking at meat as forms of nutrition anymore they are thinking about a cow being an animal which it obviously is but it is give us protein and iron and essential nutrients that our body needs. ,,,2,6,2,2
1,R_31BCsEkeTW8LIk2,1,1,,,"The American understanding of meats--particularly fats found within meats--is not wholly informed. Scientific advances reveal the need for healthy fats (-cis and saturated fats), and a variety of proteins which are primarily found in meats. Dietary proetin suppluments are difficult and expensive to obtain. As Americans are educated and learn about ""new"", healthy dietary habbits, they will begin to consume more meat products and-hopefully-couple that habbit with an appropriate amount of exercise. This is my own oppinion, assuming that people want to live long and be happy and healthy.",2,4,1,2
1,R_tXn5qPDAwW22J3z,1,1,,"I think this will continue because there is a huge rise in alternatives to replace meat consumption, such as using jackfruit and making it taste like meat. Also, a larger educational emphasis on the different sources of protein that an individual has access to as opposed to meat, such as, nuts, seeds, legumes, dairy and so forth. The new research and information that has come out on the inhumane sourcing of meat and the toxic environments animals are being brought up in are being revealed to the public and this is shifting mindsets to not only decrease meat consumption, but to also find humane sourcing of meat. ",,6,4,2,2
1,R_dmPdFGrgJRolrDb,1,1,,I think because people are become more aware of how much the meat is processed ,,3,5,2,2
1,R_1IsYmFDOWn2vAkA,1,1,,Because people are becoming more knowledgeable about food and the healthy benefits from it. ,,4,4,2,2
1,R_ensEi7USLJu4Ojv,1,1,,,"I think it will reverse because new research will come out that meat is good for you. Now that people have lessened their intake, scientists can study any adverse effects of low meat consumption.",1,7,2,2
1,R_3NUpIowc3kIaZXQ,1,1,,"We are always told to reduce the amount of meat we consume, and the more we are told or hear about it, the more likely we are to do as we hear. ",,3,6,1,2
1,R_3dXtGG74pRigM7l,1,1,"Meat is a good source of protein which is good for high protein, low carb diets. I think the 30% limit meat because they are either vegetarian or they are on a diet that doesn't include meat.",,,3,5,2,2
1,R_szoPPOaBg4UAPKh,1,1,I think people are more worried with what goes into their meat than they used to be.,,,2,5,2,2
1,R_1lmyE5sH7zqNuat,1,1,Buying a burger is cheaper than buying a salad.  ,,,1,5,2,2
1,R_xyZX553ZvUvYgZb,1,2,,,,,,,
1,R_2wuGQsdciugkPfF,1,1,,,"I think the trend may slow down or reverse simply due to the changes in societal values. The recent focus on animal rights and eating to avoid allergies has shaped how meat is consumed and viewed. People have cut out meat from their diet because they have problems with how the meat industry is run or because of personal digestive issues. I believe that, as the meat industry adjusts to the values of society, people will be drawn back to consuming meat without a guilty conscience. ",2,3,2,2
1,R_PGHSoacviJLm1Mt,1,1,,,I think this trend will slow or reverse due to the high cost of fresh fruits and vegetables. The growing industry of fast food continues to keep people eating meat on a regular basis. ,1,3,2,2
1,R_2uBQG3lyNhUnyzU,1,1,,"Because so many people have opinions nowadays, and they believe that we shouldn’t harm animals. I think it has become a trend to be a vegetarian or vegan. ",,3,4,2,2
1,R_2ahOd9uNsdbgnJz,1,1,"Diet trends like the Paleo diet. Meat is convenient, affordable and can be a reflection of previous generations and how they ate",,,1,6,2,2
1,R_3Ptn0Aber7QLqt4,1,1,,There are more and more people talking about how bad meat is for us and so a lot of people are buying into that and turning away from it. ,,1,2,1,2
1,R_1FwFMppEVbGXGCP,1,1,,,Because trends come and go. This meat consumption is a trend that will inevitably change its course.,1,6,2,2
1,R_24OzWe7TVDnpFKk,1,1,,"First, limiting mean consumption has become trendy. Trends tend to spread, especially through social media. So I’m sure more and more people will move in this direction. We may also learn more health benefits of limiting meat consumption, which will push more to follow the advice. ",,2,5,2,2
1,R_3KD7LCA7WR9GO1G,1,1,"For some, meat consumption violates animal rights, so they choose not to consume meat or animal products. For others, an emphasis on eating more foods ""from the earth"" means consuming fruits, vegetables, and grains over meat. Overall awareness that protein comes from other sources in addition to meat may also contribute to these numbers.",,,6,6,2,2
1,R_3Mmn52flfUgnNhQ,1,1,,,Because people nowadays focus on high protein diets in their healthy lifestyles.,1,6,2,2
1,R_D35gc78WViQ6LHH,1,1,,People do not want to hurt animals so they have stopped eating animals of any kind,,6,6,2,2
1,R_2uyY87DPoZLajj6,1,1,,More and more people are learning the risks of increased diets of red-meat consumption. ,,2,6,1,2
1,R_23aCjV5kyAuFoKL,1,1,,,People are told to increase their protein intake,1,6,2,2
1,R_ZgfFH24XQ29ed7r,1,1,I think that these people are either trying to be healthy or are following a fad like vegetarian or vegan.,,,4,6,1,2
1,R_VUSM1PJm52EexUZ,1,1,Increase popularity in Veganism. ,,,2,4,2,2
1,R_1jq9F7wJ4HyOvCJ,1,1,,,"Evidence and research provided by nutritionists and physicians will show that certain nutrients can only be obtained through meat products, such as heme iron, and certain nutrients are obtained in higher amounts through meat products.",3,5,2,2
1,R_3Hhujmn5vz3uu7a,1,1,,"My best guess would be that those who have limited their meat consumption will pass that knowledge of what is a healthy portion of meat to eat down to their friends, family, and future children.",,3,6,2,2
1,R_3qgPEWmHdv1bEkH,1,1,,new fad diets or research will come out and people will be convinced that it is the healthier way.,,3,6,2,2
1,R_SAJd2MRBuzIKt8d,1,1,More vegetarian options are providing similar benefits as meat products would ,,,4,3,2,2
1,R_0MPK7VVdCc64EBb,1,1,,,I think that it is just a fad and will not continue ,3,7,2,2
1,R_3iyU7Rg7q0wPOdT,1,1,"I am surprised it is not more, for health reasons. We hear a lot how it is not healthy to eat a lot of red meat. We also hear a lot about the inhumane treatment of animals being raised for food. ",,,6,5,2,2
1,R_RLDnyoF4HTFwg6Z,1,1,,People are becoming more concerned about their health. ,,4,2,2,2
1,R_2ZEwnQLfGRhuVlA,1,1,,I think because people are becoming more conscious and aware of what they eat. ,,5,5,2,2
1,R_30tKW5yztJKZgAz,1,1,,,"Ketosis diets, Atkins, and other low carb diets are again gaining popularity ",4,5,2,2
1,R_PXqLscSa0BjZQsx,1,1,,,slow,1,6,1,2
1,R_qPdqtLpf05bPYad,1,2,,,,,,,
1,R_1CIOJARKQtj9InJ,1,1,I think that people who limit their meat consumption do so to eliminate fat from their diets.,,,2,6,2,2
1,R_OIiKEWCp6oCO5Pz,1,1,Religous people,,,3,2,2,2
1,R_1dNsOnnR47Zue0w,1,1,,,I think it is a trend for now and like all trends will slowly go away. ,5,5,2,2
1,R_8cOLFUzaqwGhAhr,1,1,,Because most food trends become popular and people will want to do that. ,,4,6,2,2
1,R_efA35Cm6sbkRIHf,1,1,,,"People are interested in healthy choices but , as the fad fades, people will go back to eating whatever is easiest and most available.",5,6,2,2
1,R_1dfWv2qenwtwzIR,1,1,,I think there is a lot more anti-cancer info out there. So more people are turning to vegetarian diets or diets that have less meat like the Paleo and whole 30. They want to skip the nitrates and perservatives. ,,7,6,2,2
1,R_ZIxDN9vADlvJTsl,1,1,,,"There seems to be dietary trends that come and go.  A few years ago eggs were bad, now eggs are good.  I think this trend will reverse as more meat options become available (grass-fed, etc)",3,6,2,2
1,R_11jvB7qKw4cWqGT,1,1,They may want to limit their consumption of meat because of the controversies of how the animals are treated or the negative affects of eating too much meat.,,,4,6,2,2
1,R_1EUK3pRJCBA2gzn,1,2,,,,,,,
1,R_27Kiuw3euaBlN9n,1,1,"Maybe I'm stereo-typing but I feel like women tend to be more devoted to not eating meat, or eating healthier in general so that would be approx. 50% of the population. But obviously every women is not going to limit their meat consumption. I would guess about half or so, maybe would, but then you have some men that probably would too, so it seems logical that it would work out to about 30% of the population that is limiting their meat consumption",,,1,5,2,2
1,R_1GUDoGmwXjqQ90P,1,1,,People are focusing on a healthier lifestyle and are realizing that protein can be in other sources rather than only meat.,,5,2,2,2
1,R_3qs1txya4T6WRdC,1,1,,,"People start paying attention to nutrition, environment and many aspects of human body and earth resources. ",4,4,2,2
1,R_22QVo4Ptn1vBxko,1,1,These number of people see meat as unhealthy or are trying to protect animals.,,,2,4,2,2
1,R_1pKdD956CSt6WbU,1,1,,There is more and more access to information and ability to connect with others with technology,,1,5,2,2
1,R_2lRbwVVnaOOUIPT,1,1,Because meat tastes good,,,4,6,1,2
1,R_2VxeiGFtGX7vVUX,1,1,,contamination of meat,,3,4,2,2
1,R_3D9JMXBzwmcb5cZ,1,2,,,,,,,
1,R_3PbgqcNabK8dlJH,1,2,,,,,,,
1,R_Tvk4dpZArW5Xr45,1,2,,,,,,,
1,R_2zuSWObBNefZnMm,1,1,HEALTH,,,1,6,2,2
1,R_2ruWKlhOpzZpAHM,1,1,,More information is privided of the long term risk of consumimg lots of meat plus there is more options in the market that are substitutes for meat,,4,5,2,2
1,R_1GvKSKTzYYOB0X9,1,1,,,"Ketogenics has become very popular. An eating plan that includes a significant amount of meat. Also, history repeats itself and most likely will again.",1,6,2,2
1,R_2diuw61Rd9gzqH2,1,1,"Thirty percent of American citizens have both the education regarding healthy eating habits and control, in terms of time, finances and access, to choose their diet.",,,2,7,2,2
1,R_1DoiNohGKg01bR3,1,1,"Most people don't care that much. 30% gets the small group that try to be a little healthier limiting fatty meat, people who limit their meat for religious purposes, and vegetarians.",,,1,5,1,2
1,R_1CdrOE4maIrk3Fg,1,1,,"There seems to be more knowledge about meat, especially red meat (cow) that has been connected to cancer. Many people have chosen to limit meat or all together give it up. There has been a larger awareness in the health community that even meat eaters are wanting grass feed animals. ",,4,6,2,2
1,R_vVpQBmAc5z1ynSh,1,1,,,Protein is important in a diet and meat is the easiest source obtaining it,1,5,1,2
1,R_3rSSFfghh3IdQws,1,1,,"I think that as people find other, more natural plant protein, their need for meat protein will decrease, and so the percentage of people who limit meat eating will increase.",,6,3,2,2
1,R_1E7hqwG69fM9TGj,1,1,,,Because the amount of people who have changed their eating habits won't change now that those who don't want to eat as much meat have already made that decision ,1,5,1,2
1,R_3Olja1gc4128WYI,1,1,,Meat is expensive and contains harmful hormones,,4,3,2,2
1,R_1M6BRg9o4W5OVRO,1,1,It is 30 percent because for one it is a fad and another is that some people really need to or feel that they do. So 30 percent makes sense.,,,4,6,2,2
1,R_a44tg4v9un3Ep3P,1,1,,,I think it will fluctuate. ,4,5,2,2
1,R_1QnHVPi8sBjYI8s,1,1,,More people are seeing the health benefits of eating more fruits and vegetables. ,,5,6,2,2
1,R_3GkNs3n2XCdsOCd,1,1,"Because the other 70% don't know the toxicity of the meat industry? Actually, the majority of people that limit their meat consumption do so for religious reasons, according to a Netflix documentary I watched anyway. ",,,7,3,2,1
1,R_UzuvKKHRo4CFKDv,1,1,,Meat is expensive,,4,4,2,2
1,R_1CJhV1qt1HTlbpQ,1,1,People are learning about the fat content and it is linked to cancers and heart disease. The other 70% people do not have knowledge or compassion to change.,,,7,6,2,1
1,R_4Sfc0YjWRZvpAFr,1,1,,,Because they might find that they aren't getting the nutrients that they need.,3,5,2,2
1,R_A7BeXDxA2tiCWM9,1,1,"I think most American's enjoy meat products, those who are trying to limit their consumption are doing so for either health reasons or moral reasons.  I think it is 30% because there are more people who have no moral qualms with eating meat.",,,3,6,2,2
1,R_2czu6qaSjHgn08v,1,1,,More people are becoming aware of possible preservatives and hormones within the meats that can cause health problems when eaten in large quanitites. The population may also be facing cholestrol problems or other health issues and are being advised by doctors to limit their intake of certain meats.,,1,2,2,2
1,R_3oLpD2aq17CBCgP,1,1,Meat is easy to access and people believe it to be healthy everyday.,,,7,4,1,2
1,R_3MRMGzBLry4XMNR,1,1,,Peer pressure ,,1,6,2,2
1,R_VRaB84Kz5HiMj4t,1,1,,,"People will see that meat is the best. Also the graph is not very convincing, what are the other percents?",1,6,1,2
1,R_1prPF7BvIHrz5v6,1,1,,It takes to many resources to produce meat. Is taking a toll on the environment and is not healthy with all the antibotics and chemicals involved. ,,6,6,2,2
1,R_5cC4TbAoeTGu9AR,1,1,,,The trend may slow or reverse in the future  based on the idea that people are seeing pass the trend of being vegan or vegetarian just because it is popular.,1,6,2,2
1,R_dipDKqcy8qfkaFX,1,1,Protein is considered healthy at least in this country by many people. People that are trying to eat healthy are limiting sugar or fats not meat. ,,,4,6,2,2
1,R_1IbXKYpyxodCWgM,1,1,,I am not sure that this trend will continue in the future.   I would think that it has something to do with the fact that a lot of information has come out showing how unhealthy it is to consume a lot of meat and people seem to be more health conscientious.   ,,1,4,2,2
1,R_2VCtRWNUvRdQLYz,1,1,Most Americans aren’t educated in nutrition.,,,3,6,2,2
1,R_DUKlXS9Q2hLWqLn,1,1,,,"Meat is how most people live. In the old days, people used to hunt for food; for survival. We still do today, but not as much. I think we will slowly revert back to that due to many things. Poor soil, poor vegetation, high population in game (animals killed for their meat), etc. ",2,7,2,2
1,R_2yllRVGBHhInxrK,1,1,,"I think it may continue because it's ""popular"" in our society now to be healthy, whereas before it was considered popular to have a little 'meat on your bones' type of thing.",,3,6,2,2
1,R_qELEdUOiWq0xO5H,1,1,,"More attention has been brought to the health benefits of limiting meat, and also attention has come to the inhumane treatment of animals meant for consumption. Another possibility is that meat is also very expensive",,4,4,2,2
1,R_2cqDAChhxfFIGAS,1,1,I think that it is 30% because they feel that it is a healthier lifestyle.,,,1,6,1,2
1,R_XomjxurUcbOoxMZ,1,1,,,People are seeing that high protein diets are better for you.,1,7,1,2
1,R_3LXWuwVzQNX4Fzc,1,1,,,There will probably be some research or limited study that claims we should eat more meat and people will start eating more meat,1,5,1,2
1,R_Apxq9f15CxAQa77,1,1,I think it is 30% because as we progress in the world more and more people are turning to more vegan and vegetarian type of foods.,,,2,4,1,2
1,R_ABA6dWQTUzzjXMt,1,1,,"People just want to be healthier and being ""vegan"" or ""vegitarian"" is trendy right now.",,1,6,2,2
1,R_2dAvltH3QLs7X5y,1,1,"There are several reasons why someone would limit their meat consumption. If you are Vegan you don't eat meat, therefore limiting meat consumption. There has also been scientific studies that indicate that heavy meat consumption is not good and so many who are concerned about health limit their meat consumption. There also may be religious reasons to limit meat consumption. ",,,1,5,2,2
1,R_rd9WrsZSuyBbfkl,1,1,,,It may be due to a lack of alternatives. It may also be because people just really like meat. Meat is one of the most common foods at fast food restaurants and harder to avoid eating.,4,5,2,2
1,R_DiuW6YVaLXwOcdX,1,1,,,While this trend is happening right now people might go back to their or ways of thinking or living. ,5,7,1,2
1,R_2wnOaAmVxNbw4oA,1,1,,Better awareness of where our food is coming from. ,,2,4,2,2
1,R_1k2oZdAsdiq2sk0,1,1,,,Because it’s a trend. A lot of trends don’t last and they tend to slow down after a certain amount of time and sometimes result in very few people follow the old trend. Humans enjoy following what’s new but eventually grow out of it and want the next new thing. ,2,6,2,2
1,R_6n8sc75k4orUMrD,1,1,As Americans. We have been brought up eating meat everyday. And it’s part of our diets. People are realizing it’s not healthy and I think it’s on. An upward trend ,,,1,7,2,2
1,R_ZmjyQlEjTuPNgZP,1,1,"There are many people who are vegetarians and vegans that need to be used in this study.  There are also studies showing that our nation had previously been eating too much protein and efforts have been made to cut back on consumption.  Lastly, the price of meat is going up and it's expensive to feed our families when wages aren't keeping up with the rising costs of everything else.",,,2,4,2,2
1,R_1zcI27C9SaNh9VD,1,1,,,Most people eat out and there isn't a lot of variety of dishes without meat in restaurants and fast food.,7,6,2,2
1,R_1gvTcfuUcelGc2t,1,1,,,"Because it is a trend, and all trends are popular for awhile before they lose popularity. Also there are so many contradictory stats out there about the harms or benefits of meat consumption, that when one comes out and scares people, they eat less, but when another comes out and encourages eating it, they eat more again.",4,6,2,2
1,R_1E4Gs3leiNVNuP1,1,1,,"for a short amount of time, but eventually will level out.",,1,6,1,2
1,R_e3bFKhWJU2LlM4x,1,1,,"Because the culture of the country is changing, not necessarily because there is data to support it",,5,6,1,2
1,R_AsQTpHHEobXXiM1,1,1,educated people,,,1,6,2,2
1,R_10AUs5vHbaapohT,1,1,"30% is the number of people who have decided not to consume any type of meat. Either because of health problems or because they are against animal mistreatment. Now, not everybody believes in these ""principles"", or have simply ignored any type of influences that may lead to stop eating meat.",,,5,2,2,2
1,R_3PH7o5MgAdy20xE,1,1,,"More studies are being done to show the health benefits of eating less meat and particularly a vegetarian diet. More people are concerned about their health than ever before and this will continue to increase, which decreases meat consumption. ",,6,6,2,2
1,R_12mSJ104bivAMah,1,1,it could be that those people are allergic to one form of meat. or a vegans ,,,4,4,1,2
1,R_2ypb02S5yDHtYlI,1,1,,,"Diet trends are always changing. In the 90's it was thought that a no-fat diet was the healthy way to go. Now we know that our bodies need some healthy fats in their diet. Changes in the industry, such as fewer hormones given to animals or healthier living conditions for the animals, may improve people's perspective on purchasing and eating meat. It depends on why people are choosing to limit the meat in their diet now and if changes can be made or research done to change their opinions.",5,6,2,2
1,R_3EKZkuRAFH62QW6,1,1,,,Slow,1,4,2,2
1,R_1KxOyVOX1H58aPU,1,1,,Because everyone is concerned withheart disease and bone density.  The porien in meats can affect your heart and take calcium to digetst properly.  ,,6,6,2,2
1,R_2D7W4rqtOP7kd7T,1,1,Cost,,,4,3,2,2
1,R_2aWiWfQS198yuR2,1,1,,"People believe it is better for their health to eat less meat, especially red meat.  Published scientific reports tend to support this belief.",,4,6,2,2
1,R_r0WUDMDeIwAbvJn,1,1,,,I feel that people will realize that it is more necessary in their diet habits than what they feel it is now.,1,6,1,2
1,R_27jy6NEg02w2ITl,1,2,,,,,,,
1,R_2ydWtb64PGYZiuB,1,1,Vegetarian or Vegan,,,1,7,1,2
1,R_1CeHn1PTfmNeizn,1,1,,"The more people do things the more others will follow. If there is validity to the claims, it tends to continue being done.",,4,6,2,2
1,R_1jQcvWbRISt5MI0,1,1,,,"I think that this trend may slow or reverse as the processes for handling, cleaning, and packaging meat becomes more efficient and less expensive as time progresses. A reason why I believe people are limiting meat consumption is because Meats (as well as vegetables and fruits) are rather expensive choices compared to dairy products and breads, this may have lead people to limit their consumption in order to save money to be used on other expenses.",2,5,1,2
1,R_1PXE32lZsmVGukc,1,1,,People have a greater understanding of portion control and how much protein a person needs/other ways to get protein ,,1,4,2,2
1,R_1FCxjf4de3DcbkI,1,1,It is not surprising to me that it is low. I think a lot of people don't make an effort to consume less meat or anything else most people just eat what they want to eat.,,,3,5,2,2
1,R_3wb0O9T3m3Mz4Z3,1,2,,,,,,,
1,R_3D8dNuAhxXrkHRn,1,2,,,,,,,
